CODIGO_ISO,ANIO,INDICE,RANKING
ITA,2015,28.93,73.0
JAM,2015,12.45,6.0
JOR,2015,44.49,129.0
JPN,2015,28.67,68.0
KAZ,2015,54.55,154.0
KEN,2015,31.16,91.0
KGZ,2015,30.16,81.0
KHM,2015,40.7,122.0
KOR,2015,28.58,66.0
KSV,2015,64527.0,121056.0
KWT,2015,32.59,98.0
LAO,2015,71.58,166.0
LBN,2015,31.95,94.0
LBR,2015,30.71,89.0
LBY,2015,57.89,157.0
LIE,2015,18.36,24.0
LKA,2015,44.96,135.0
LSO,2015,28.78,69.0
LTU,2015,19.95,31.0
LUX,2015,14.43,11.0
LVA,2015,17.38,20.0
MAR,2015,42.64,125.0
MDA,2015,28.83,72.0
MDG,2015,27.04,52.0
MDV,2015,34.17,106.0
MEX,2015,49.33,143.0
MKD,2015,36.09,112.0
MLI,2015,39.83,116.0
MLT,2015,23.84,42.0
MMR,2015,45.48,137.0
MNE,2015,32.79,100.0
MNG,2015,27.61,56.0
MOZ,2015,30.25,83.0
MRT,2015,24.03,44.0
MUS,2015,27.69,57.0
MWI,2015,28.12,62.0
MYS,2015,46.57,140.0
NAM,2015,15.15,13.0
NER,2015,24.62,48.0
NGA,2015,35.9,110.0
NIC,2015,28.82,71.0
NLD,2015,8.76,170.0
NOR,2015,8.79,171.0
NPL,2015,32.62,99.0
NZL,2015,10.01,1.0
OMN,2015,40.43,119.0
PAK,2015,48.52,141.0
PAN,2015,30.59,87.0
PER,2015,29.99,80.0
PHL,2015,44.66,132.0
PNG,2015,25.81,51.0
POL,2015,23.89,43.0
PRK,2015,83.76,176.0
PRT,2015,17.27,19.0
PRY,2015,33.63,105.0
PSE,2015,,
QAT,2015,35.97,111.0
ROU,2015,24.29,45.0
RUS,2015,49.03,142.0
RWA,2015,54.61,155.0
SAU,2015,59.72,158.0
SDN,2015,72.53,167.0
SEN,2015,27.99,61.0
SGP,2015,52.96,148.0
SLE,2015,29.94,79.0
SLV,2015,27.2,54.0
SOM,2015,65.35,160.0
SRB,2015,27.6,55.0
SSD,2015,44.87,134.0
SUR,2015,16.7,18.0
SVK,2015,13.26,8.0
SVN,2015,22.26,36.0
SWE,2015,12.33,4.0
SWZ,2015,52.37,147.0
SYC,2015,30.6,88.0
SYR,2015,81.35,174.0
TCD,2015,40.59,121.0
TGO,2015,30.31,84.0
THA,2015,44.53,130.0
TJK,2015,50.34,144.0
TKM,2015,83.44,175.0
TLS,2015,32.02,95.0
TON,2015,21.24,33.0
TTO,2015,23.29,40.0
TUN,2015,31.6,92.0
TUR,2015,50.76,145.0
TWN,2015,,
TZA,2015,28.65,67.0
UGA,2015,32.58,97.0
UKR,2015,32.93,101.0
URY,2015,15.88,16.0
USA,2015,22.49,37.0
UZB,2015,61.15,159.0
VEN,2015,44.77,133.0
VNM,2015,74.27,168.0
WSM,2015,18.8,25.0
YEM,2015,67.07,163.0
ZAF,2015,21.92,35.0
ZMB,2015,35.08,108.0
ZWE,2015,40.41,118.0
AFG,2016,,114.0
AGO,2016,,119.0
ALB,2016,,72.0
AND,2016,,32.0
ARE,2016,,113.0
ARG,2016,,47.0
ARM,2016,,75.0
ATG,2016,,
AUS,2016,,16.0
AUT,2016,,8.0
AZE,2016,,154.0
BDI,2016,,153.0
BEL,2016,,6.0
BEN,2016,,74.0
BFA,2016,,39.0
BGD,2016,,139.0
BGR,2016,,103.0
BHR,2016,,156.0
BIH,2016,,61.0
BLR,2016,,146.0
BLZ,2016,,38.0
BOL,2016,,101.0
BRA,2016,,97.0
BRN,2016,,149.0
BTN,2016,,80.0
BWA,2016,,45.0
CAF,2016,,107.0
CAN,2016,,19.0
CHE,2016,,4.0
CHL,2016,,30.0
CHN,2016,,169.0
CIV,2016,,77.0
CMR,2016,,124.0
COD,2016,,
COG,2016,,109.0
COL,2016,,123.0
COM,2016,,41.0
CPV,2016,,24.0
CRI,2016,,3.0
CUB,2016,,166.0
CYP,2016,,27.0
CZE,2016,,20.0
DEU,2016,,13.0
DJI,2016,,165.0
DNK,2016,,1.0
DOM,2016,,55.0
DZA,2016,,128.0
ECU,2016,,99.0
EGY,2016,,153.0
ERI,2016,,174.0
ESP,2016,,26.0
EST,2016,,9.0
ETH,2016,,143.0
FIN,2016,,171.0
FJI,2016,,63.0
FRA,2016,,36.0
GAB,2016,,102.0
GBR,2016,,37.0
GEO,2016,,60.0
GHA,2016,,23.0
GIN,2016,,95.0
GMB,2016,,136.0
GNB,2016,,118793.0
GNQ,2016,,163.0
GRC,2016,,83.0
GRD,2016,,
GTM,2016,,112.0
GUY,2016,,56.0
HKG,2016,,69.0
HND,2016,,133.0
HRV,2016,,70.0
HTI,2016,,49.0
HUN,2016,,67.0
IDN,2016,,118.0
IND,2016,,18909.0
IRL,2016,,11.0
IRN,2016,,157.0
IRQ,2016,,151.0
ISL,2016,,7.0
ISR,2016,,86.0
ITA,2016,,48.0
JAM,2016,,5.0
JOR,2016,,131.0
JPN,2016,,68.0
KAZ,2016,,150.0
KEN,2016,,89.0
KGZ,2016,,84.0
KHM,2016,,126.0
KOR,2016,,59.0
KSV,2016,,119285.0
KWT,2016,,98.0
LAO,2016,,162.0
LBN,2016,,93.0
LBR,2016,,88.0
LBY,2016,,155.0
LIE,2016,,29.0
LKA,2016,,134.0
LSO,2016,,64.0
LTU,2016,,33.0
LUX,2016,,12.0
LVA,2016,,25.0
MAR,2016,,127.0
MDA,2016,,76.0
MDG,2016,,53.0
MDV,2016,,111.0
MEX,2016,,140.0
MKD,2016,,105.0
MLI,2016,,110.0
MLT,2016,,44.0
MMR,2016,,125.0
MNE,2016,,100.0
MNG,2016,,65.0
MOZ,2016,,87.0
MRT,2016,,51.0
MUS,2016,,52.0
MWI,2016,,66.0
MYS,2016,,137.0
NAM,2016,,21.0
NER,2016,,57.0
NGA,2016,,116.0
NIC,2016,,86.0
NLD,2016,,2.0
NOR,2016,,164.0
NPL,2016,,94.0
NZL,2016,,10.0
OMN,2016,,120.0
PAK,2016,,132.0
PAN,2016,,90.0
PER,2016,,85.0
PHL,2016,,121.0
PNG,2016,,47.0
POL,2016,,50.0
PRK,2016,,
PRT,2016,,15.0
PRY,2016,,104.0
PSE,2016,,
QAT,2016,,117.0
ROU,2016,,43.0
RUS,2016,,141.0
RWA,2016,,152.0
SAU,2016,,160.0
SDN,2016,,167.0
SEN,2016,,54.0
SGP,2016,,144.0
SLE,2016,,80.0
SLV,2016,,58.0
SOM,2016,,159.0
SRB,2016,,62.0
SSD,2016,,138.0
SUR,2016,,17.0
SVK,2016,,14.0
SVN,2016,,34.0
SWE,2016,,170.0
SWZ,2016,,145.0
SYC,2016,,82.0
SYR,2016,,172.0
TCD,2016,,115.0
TGO,2016,,81.0
THA,2016,,135.0
TJK,2016,,142.0
TKM,2016,,173.0
TLS,2016,,92.0
TON,2016,,46.0
TTO,2016,,31.0
TUN,2016,,91.0
TUR,2016,,148.0
TWN,2016,,
TZA,2016,,79.0
UGA,2016,,106.0
UKR,2016,,96.0
URY,2016,,22.0
USA,2016,,40.0
UZB,2016,,161.0
VEN,2016,,130.0
VNM,2016,,168.0
WSM,2016,,18.0
YEM,2016,,158.0
ZAF,2016,,28.0
ZMB,2016,,108.0
ZWE,2016,,122.0
AFG,2017,39.46,120.0
AGO,2017,40.42,125.0
ALB,2017,29.92,76.0
AND,2017,21.03,35.0
ARE,2017,39.39,119.0
ARG,2017,25.07,50.0
ARM,2017,30.38,79.0
ATG,2017,,
AUS,2017,16.02,19.0
AUT,2017,13.47,11.0
AZE,2017,56.4,162.0
BDI,2017,55.78,160.0
BEL,2017,12.75,9.0
BEN,2017,30.32,78.0
BFA,2017,23.85,42.0
BGD,2017,48.36,146.0
BGR,2017,35.01,109.0
BHR,2017,58.88,164.0
BIH,2017,27.83,65.0
BLR,2017,52.43,153.0
BLZ,2017,23.43,41.0
BOL,2017,33.88,107.0
BRA,2017,33.58,103.0
BRN,2017,53.72,156.0
BTN,2017,30.73,84.0
BWA,2017,24.93,48.0
CAF,2017,36.12,113.0
CAN,2017,16.53,22.0
CHE,2017,12.13,7.0
CHL,2017,20.53,33.0
CHN,2017,77.66,176.0
CIV,2017,30.42,81.0
CMR,2017,41.59,130.0
COD,2017,52.67,154.0
COG,2017,36.73,115.0
COL,2017,41.47,129.0
COM,2017,24.33,44.0
CPV,2017,18.02,27.0
CRI,2017,11.93,6.0
CUB,2017,71.75,173.0
CYP,2017,19.79,30.0
CZE,2017,16.91,23.0
DEU,2017,14.97,16.0
DJI,2017,70.54,172.0
DNK,2017,10.36,4.0
DOM,2017,26.76,59.0
DZA,2017,42.83,134.0
ECU,2017,33.64,105.0
EGY,2017,55.78,161.0
ERI,2017,84.24,179.0
ESP,2017,18.69,29.0
EST,2017,13.55,12.0
ETH,2017,50.34,150.0
FIN,2017,8.92,3.0
FJI,2017,28.64,67.0
FRA,2017,22.24,39.0
GAB,2017,34.83,108.0
GBR,2017,22.26,40.0
GEO,2017,27.76,64.0
GHA,2017,17.95,26.0
GIN,2017,33.15,101.0
GMB,2017,46.7,143.0
GNB,2017,30.09,77.0
GNQ,2017,66.47,171.0
GRC,2017,30.89,88.0
GRD,2017,,
GTM,2017,39.33,118.0
GUY,2017,26.8,60.0
HKG,2017,29.46,73.0
HND,2017,43.75,140.0
HRV,2017,29.59,74.0
HTI,2017,26.36,53.0
HUN,2017,29.01,71.0
IDN,2017,39.93,124.0
IND,2017,42.94,136.0
IRL,2017,14.08,14.0
